camera,path,label,split,Latitude,Longitude,Month,Hour,category,prediction
3837,/gpfs/scratch/hc4549/weather/3837/20130322_202221.jpg,40,train,47.0675219,7.0999358,3,18,Many,
9483,/gpfs/scratch/hc4549/weather/9483/20131107_065412.jpg,45,train,50.1065184167,8.67800682695,11,10,Many,
684,/gpfs/scratch/hc4549/weather/684/20131008_094146.jpg,41,train,37.2979,-79.9877,10,3,Many,
10870,/gpfs/scratch/hc4549/weather/10870/20130208_103805.jpg,30,train,47.6946284842,9.27217400644,2,10,Many,
19834,/gpfs/scratch/hc4549/weather/19834/20140618_170237.jpg,55,train,28.2441768,-82.7192671,6,7,Many,
19306,/gpfs/scratch/hc4549/weather/19306/20130827_152326.jpg,50,train,37.20861,-113.02028,8,6,Many,
19306,/gpfs/scratch/hc4549/weather/19306/20131218_002332.jpg,39,train,37.20861,-113.02028,12,15,Many,
19306,/gpfs/scratch/hc4549/weather/19306/20130722_202330.jpg,61,train,37.20861,-113.02028,7,11,Medium,
19388,/gpfs/scratch/hc4549/weather/19388/20130423_071401.jpg,37,train,57.6333,18.3,4,5,Many,
19834,/gpfs/scratch/hc4549/weather/19834/20140708_103236.jpg,56,train,28.2441768,-82.7192671,7,2,Many,
684,/gpfs/scratch/hc4549/weather/684/20131001_014153.jpg,51,train,37.2979,-79.9877,10,19,Many,
19306,/gpfs/scratch/hc4549/weather/19306/20130311_065335.jpg,43,train,37.20861,-113.02028,3,22,Many,
3396,/gpfs/scratch/hc4549/weather/3396/20130430_143840.jpg,39,train,49.7724798,9.9584878,4,17,Many,
18590,/gpfs/scratch/hc4549/weather/18590/20120801_043914.jpg,59,train,33.7497447444,-84.3883686381,8,21,Medium,
4679,/gpfs/scratch/hc4549/weather/4679/20140908_134024.jpg,53,train,49.5847611497,9.36662846022,9,16,Many,
684,/gpfs/scratch/hc4549/weather/684/20130729_224151.jpg,56,train,37.2979,-79.9877,7,16,Many,
11160,/gpfs/scratch/hc4549/weather/11160/20131124_075315.jpg,34,train,46.948,7.44815,11,10,Many,
6798,/gpfs/scratch/hc4549/weather/6798/20130227_215356.jpg,46,train,28.7540844,-17.8861498,2,20,Many,
4181,/gpfs/scratch/hc4549/weather/4181/20130827_063028.jpg,61,train,32.231328037,-110.946649929,8,21,Medium,
10917,/gpfs/scratch/hc4549/weather/10917/20130721_065415.jpg,51,train,47.3645089866,7.15401294173,7,9,Many,
3888,/gpfs/scratch/hc4549/weather/3888/20130911_144225.jpg,53,train,42.2480919,3.1227702,9,15,Many,
11160,/gpfs/scratch/hc4549/weather/11160/20130206_112315.jpg,29,train,46.948,7.44815,2,9,Medium,
204,/gpfs/scratch/hc4549/weather/204/20131023_052003.jpg,31,train,41.702494694,-86.2378195222,10,20,Many,
260,/gpfs/scratch/hc4549/weather/260/20140714_011500.jpg,53,train,39.6421,-78.9125,7,20,Many,
19306,/gpfs/scratch/hc4549/weather/19306/20131019_042323.jpg,38,train,37.20861,-113.02028,10,19,Many,
19388,/gpfs/scratch/hc4549/weather/19388/20130118_234400.jpg,25,train,57.6333,18.3,1,2,Medium,
3888,/gpfs/scratch/hc4549/weather/3888/20131112_044227.jpg,45,train,42.2480919,3.1227702,11,5,Many,
19388,/gpfs/scratch/hc4549/weather/19388/20130501_134410.jpg,41,train,57.6333,18.3,5,16,Many,
10917,/gpfs/scratch/hc4549/weather/10917/20121016_202419.jpg,38,train,47.3645089866,7.15401294173,10,18,Many,
11160,/gpfs/scratch/hc4549/weather/11160/20130518_025310.jpg,35,train,46.948,7.44815,5,5,Many,
3837,/gpfs/scratch/hc4549/weather/3837/20130711_201525.jpg,55,train,47.0675219,7.0999358,7,17,Many,
684,/gpfs/scratch/hc4549/weather/684/20140421_041159.jpg,47,train,37.2979,-79.9877,4,20,Many,
684,/gpfs/scratch/hc4549/weather/684/20130719_061143.jpg,55,train,37.2979,-79.9877,7,0,Many,
3396,/gpfs/scratch/hc4549/weather/3396/20130529_010845.jpg,41,train,49.7724798,9.9584878,5,1,Many,
4679,/gpfs/scratch/hc4549/weather/4679/20140814_084021.jpg,45,train,49.5847611497,9.36662846022,8,11,Many,
623,/gpfs/scratch/hc4549/weather/623/20140401_231153.jpg,53,train,29.272958,-94.85084,4,14,Many,
861,/gpfs/scratch/hc4549/weather/861/20140507_000555.jpg,36,train,36.0579,-112.1255,5,13,Many,
19388,/gpfs/scratch/hc4549/weather/19388/20131004_231405.jpg,37,train,57.6333,18.3,10,1,Many,
19306,/gpfs/scratch/hc4549/weather/19306/20130421_142325.jpg,41,train,37.20861,-113.02028,4,5,Many,
8733,/gpfs/scratch/hc4549/weather/8733/20130725_050647.jpg,48,train,47.441685,8.620672,7,2,Many,
19834,/gpfs/scratch/hc4549/weather/19834/20140330_133242.jpg,45,train,28.2441768,-82.7192671,3,5,Many,
17244,/gpfs/scratch/hc4549/weather/17244/20130411_073546.jpg,54,train,19.1998222193,-96.1388478948,4,0,Many,
3888,/gpfs/scratch/hc4549/weather/3888/20130728_061228.jpg,53,train,42.2480919,3.1227702,7,7,Many,
10870,/gpfs/scratch/hc4549/weather/10870/20130802_200819.jpg,58,train,47.6946284842,9.27217400644,8,20,Many,
5020,/gpfs/scratch/hc4549/weather/5020/20140220_151536.jpg,57,train,-30.0342535017,-51.2312071242,2,13,Many,
17244,/gpfs/scratch/hc4549/weather/17244/20120922_173553.jpg,56,train,19.1998222193,-96.1388478948,9,10,Many,
3396,/gpfs/scratch/hc4549/weather/3396/20140403_130838.jpg,50,train,49.7724798,9.9584878,4,13,Many,
5020,/gpfs/scratch/hc4549/weather/5020/20140422_034533.jpg,50,train,-30.0342535017,-51.2312071242,4,4,Many,
10917,/gpfs/scratch/hc4549/weather/10917/20111002_082407.jpg,36,train,47.3645089866,7.15401294173,10,6,Many,
3888,/gpfs/scratch/hc4549/weather/3888/20130731_214227.jpg,55,train,42.2480919,3.1227702,7,22,Many,
10870,/gpfs/scratch/hc4549/weather/10870/20130604_190802.jpg,48,train,47.6946284842,9.27217400644,6,19,Many,
684,/gpfs/scratch/hc4549/weather/684/20121117_084152.jpg,28,train,37.2979,-79.9877,11,2,Medium,
3837,/gpfs/scratch/hc4549/weather/3837/20130518_015216.jpg,39,train,47.0675219,7.0999358,5,1,Many,
623,/gpfs/scratch/hc4549/weather/623/20130228_211148.jpg,42,train,29.272958,-94.85084,2,12,Many,
3837,/gpfs/scratch/hc4549/weather/3837/20131014_085221.jpg,39,train,47.0675219,7.0999358,10,8,Many,
3837,/gpfs/scratch/hc4549/weather/3837/20130307_014521.jpg,33,train,47.0675219,7.0999358,3,5,Many,
19306,/gpfs/scratch/hc4549/weather/19306/20131011_135325.jpg,34,train,37.20861,-113.02028,10,5,Many,
623,/gpfs/scratch/hc4549/weather/623/20131025_081154.jpg,50,train,29.272958,-94.85084,10,0,Many,
623,/gpfs/scratch/hc4549/weather/623/20120904_124155.jpg,58,train,29.272958,-94.85084,9,5,Many,
260,/gpfs/scratch/hc4549/weather/260/20140423_221459.jpg,42,train,39.6421,-78.9125,4,17,Many,
10870,/gpfs/scratch/hc4549/weather/10870/20130729_203804.jpg,46,train,47.6946284842,9.27217400644,7,20,Many,
1093,/gpfs/scratch/hc4549/weather/1093/20140919_135402.jpg,39,train,42.9675258075,-85.8862860319,9,7,Many,
1093,/gpfs/scratch/hc4549/weather/1093/20140528_092403.jpg,50,train,42.9675258075,-85.8862860319,5,1,Many,
9483,/gpfs/scratch/hc4549/weather/9483/20130724_105413.jpg,57,train,50.1065184167,8.67800682695,7,14,Many,
260,/gpfs/scratch/hc4549/weather/260/20140719_124452.jpg,48,train,39.6421,-78.9125,7,7,Many,
204,/gpfs/scratch/hc4549/weather/204/20140911_171953.jpg,42,train,41.702494694,-86.2378195222,9,8,Many,
19388,/gpfs/scratch/hc4549/weather/19388/20130102_151409.jpg,34,train,57.6333,18.3,1,13,Many,
6798,/gpfs/scratch/hc4549/weather/6798/20130418_083955.jpg,49,train,28.7540844,-17.8861498,4,8,Many,
5021,/gpfs/scratch/hc4549/weather/5021/20130815_134637.jpg,43,train,-30.0343080145,-51.2312634505,8,14,Many,
5021,/gpfs/scratch/hc4549/weather/5021/20130811_134634.jpg,43,train,-30.0343080145,-51.2312634505,8,14,Many,
18590,/gpfs/scratch/hc4549/weather/18590/20140414_083925.jpg,50,train,33.7497447444,-84.3883686381,4,1,Many,
18590,/gpfs/scratch/hc4549/weather/18590/20130515_000928.jpg,58,train,33.7497447444,-84.3883686381,5,14,Many,
11160,/gpfs/scratch/hc4549/weather/11160/20130427_192318.jpg,39,train,46.948,7.44815,4,17,Many,
6798,/gpfs/scratch/hc4549/weather/6798/20130505_000947.jpg,49,train,28.7540844,-17.8861498,5,20,Many,
3837,/gpfs/scratch/hc4549/weather/3837/20140614_162215.jpg,51,train,47.0675219,7.0999358,6,18,Many,
623,/gpfs/scratch/hc4549/weather/623/20130831_234151.jpg,60,train,29.272958,-94.85084,8,16,Medium,
10066,/gpfs/scratch/hc4549/weather/10066/20130510_114632.jpg,35,train,46.3833333,11.85,5,11,Many,
5021,/gpfs/scratch/hc4549/weather/5021/20130904_114632.jpg,45,train,-30.0343080145,-51.2312634505,9,12,Many,
10917,/gpfs/scratch/hc4549/weather/10917/20120623_185432.jpg,44,train,47.3645089866,7.15401294173,6,21,Many,
10066,/gpfs/scratch/hc4549/weather/10066/20130709_174633.jpg,43,train,46.3833333,11.85,7,17,Many,
5020,/gpfs/scratch/hc4549/weather/5020/20140606_234535.jpg,47,train,-30.0342535017,-51.2312071242,6,20,Many,
6798,/gpfs/scratch/hc4549/weather/6798/20131127_195358.jpg,49,train,28.7540844,-17.8861498,11,20,Many,
11160,/gpfs/scratch/hc4549/weather/11160/20130520_102316.jpg,40,train,46.948,7.44815,5,8,Many,
3837,/gpfs/scratch/hc4549/weather/3837/20130421_234530.jpg,39,train,47.0675219,7.0999358,4,23,Many,
623,/gpfs/scratch/hc4549/weather/623/20140929_074156.jpg,54,train,29.272958,-94.85084,9,0,Many,
623,/gpfs/scratch/hc4549/weather/623/20131013_134154.jpg,55,train,29.272958,-94.85084,10,6,Many,
19834,/gpfs/scratch/hc4549/weather/19834/20140217_210237.jpg,51,train,28.2441768,-82.7192671,2,11,Many,
684,/gpfs/scratch/hc4549/weather/684/20131006_231148.jpg,57,train,37.2979,-79.9877,10,15,Many,
8733,/gpfs/scratch/hc4549/weather/8733/20131109_053638.jpg,39,train,47.441685,8.620672,11,5,Many,
5020,/gpfs/scratch/hc4549/weather/5020/20130823_004532.jpg,37,train,-30.0342535017,-51.2312071242,8,23,Many,
9483,/gpfs/scratch/hc4549/weather/9483/20130618_152422.jpg,63,train,50.1065184167,8.67800682695,6,18,Medium,
10917,/gpfs/scratch/hc4549/weather/10917/20110928_072408.jpg,42,train,47.3645089866,7.15401294173,9,7,Many,
4181,/gpfs/scratch/hc4549/weather/4181/20131029_183031.jpg,55,train,32.231328037,-110.946649929,10,11,Many,
10066,/gpfs/scratch/hc4549/weather/10066/20130918_075735.jpg,33,train,46.3833333,11.85,9,8,Many,
3837,/gpfs/scratch/hc4549/weather/3837/20130826_235212.jpg,45,train,47.0675219,7.0999358,8,23,Many,
5020,/gpfs/scratch/hc4549/weather/5020/20140713_121544.jpg,49,train,-30.0342535017,-51.2312071242,7,10,Many,
19106,/gpfs/scratch/hc4549/weather/19106/20130702_230650.jpg,50,train,46.82261667,-71.21337891,7,19,Many,
19306,/gpfs/scratch/hc4549/weather/19306/20130822_092324.jpg,58,train,37.20861,-113.02028,8,2,Many,
17244,/gpfs/scratch/hc4549/weather/17244/20120915_053543.jpg,56,train,19.1998222193,-96.1388478948,9,22,Many,
162,/gpfs/scratch/hc4549/weather/162/20140730_023901.jpg,52,train,41.9797,-88.4061,7,19,Many,
684,/gpfs/scratch/hc4549/weather/684/20131125_201148.jpg,29,train,37.2979,-79.9877,11,12,Medium,
4801,/gpfs/scratch/hc4549/weather/4801/20110319_141002.jpg,37,train,49.1,10.75,3,14,Many,
8733,/gpfs/scratch/hc4549/weather/8733/20130804_200644.jpg,57,train,47.441685,8.620672,8,17,Many,
260,/gpfs/scratch/hc4549/weather/260/20140902_221457.jpg,65,train,39.6421,-78.9125,9,14,Low,
3837,/gpfs/scratch/hc4549/weather/3837/20130123_072220.jpg,24,train,47.0675219,7.0999358,1,9,Medium,
204,/gpfs/scratch/hc4549/weather/204/20131206_104952.jpg,27,train,41.702494694,-86.2378195222,12,4,Medium,
4801,/gpfs/scratch/hc4549/weather/4801/20110419_141002.jpg,48,train,49.1,10.75,4,14,Many,
10870,/gpfs/scratch/hc4549/weather/10870/20131210_113758.jpg,34,train,47.6946284842,9.27217400644,12,11,Many,
684,/gpfs/scratch/hc4549/weather/684/20140622_094149.jpg,50,train,37.2979,-79.9877,6,3,Many,
10066,/gpfs/scratch/hc4549/weather/10066/20130109_122726.jpg,33,train,46.3833333,11.85,1,11,Many,
10917,/gpfs/scratch/hc4549/weather/10917/20130803_195419.jpg,48,train,47.3645089866,7.15401294173,8,22,Many,
260,/gpfs/scratch/hc4549/weather/260/20131226_061454.jpg,27,train,39.6421,-78.9125,12,2,Medium,
10917,/gpfs/scratch/hc4549/weather/10917/20130216_142418.jpg,30,train,47.3645089866,7.15401294173,2,12,Many,
9730,/gpfs/scratch/hc4549/weather/9730/20130219_095714.jpg,48,train,-34.5806593772,-58.4284707051,2,10,Many,
8733,/gpfs/scratch/hc4549/weather/8733/20130826_083637.jpg,43,train,47.441685,8.620672,8,8,Many,
623,/gpfs/scratch/hc4549/weather/623/20130821_054148.jpg,58,train,29.272958,-94.85084,8,22,Many,
8733,/gpfs/scratch/hc4549/weather/8733/20130831_043644.jpg,44,train,47.441685,8.620672,8,4,Many,
18590,/gpfs/scratch/hc4549/weather/18590/20130503_110923.jpg,46,train,33.7497447444,-84.3883686381,5,1,Many,
684,/gpfs/scratch/hc4549/weather/684/20130530_074154.jpg,51,train,37.2979,-79.9877,5,1,Many,
8438,/gpfs/scratch/hc4549/weather/8438/20130704_031636.jpg,62,train,38.9115347345,-97.212305746,7,18,Medium,
10917,/gpfs/scratch/hc4549/weather/10917/20110814_135407.jpg,48,train,47.3645089866,7.15401294173,8,16,Many,
623,/gpfs/scratch/hc4549/weather/623/20140701_161154.jpg,58,train,29.272958,-94.85084,7,7,Many,
3888,/gpfs/scratch/hc4549/weather/3888/20130421_111221.jpg,46,train,42.2480919,3.1227702,4,12,Many,
10066,/gpfs/scratch/hc4549/weather/10066/20130430_135726.jpg,37,train,46.3833333,11.85,4,14,Many,
10917,/gpfs/scratch/hc4549/weather/10917/20130127_085415.jpg,33,train,47.3645089866,7.15401294173,1,11,Many,
3396,/gpfs/scratch/hc4549/weather/3396/20140112_050851.jpg,31,train,49.7724798,9.9584878,1,5,Many,
260,/gpfs/scratch/hc4549/weather/260/20140110_224510.jpg,35,train,39.6421,-78.9125,1,16,Many,
19388,/gpfs/scratch/hc4549/weather/19388/20130305_141406.jpg,35,train,57.6333,18.3,3,12,Many,
3837,/gpfs/scratch/hc4549/weather/3837/20140129_062218.jpg,26,train,47.0675219,7.0999358,1,8,Medium,
17244,/gpfs/scratch/hc4549/weather/17244/20130725_120559.jpg,54,train,19.1998222193,-96.1388478948,7,5,Many,
162,/gpfs/scratch/hc4549/weather/162/20131122_133832.jpg,32,train,41.9797,-88.4061,11,6,Many,
3888,/gpfs/scratch/hc4549/weather/3888/20130203_064227.jpg,34,train,42.2480919,3.1227702,2,7,Many,
11160,/gpfs/scratch/hc4549/weather/11160/20130728_015319.jpg,50,train,46.948,7.44815,7,4,Many,
260,/gpfs/scratch/hc4549/weather/260/20140402_224452.jpg,48,train,39.6421,-78.9125,4,16,Many,
4181,/gpfs/scratch/hc4549/weather/4181/20130628_150201.jpg,55,train,32.231328037,-110.946649929,6,3,Many,
623,/gpfs/scratch/hc4549/weather/623/20121110_204155.jpg,56,train,29.272958,-94.85084,11,13,Many,
10917,/gpfs/scratch/hc4549/weather/10917/20130617_195416.jpg,53,train,47.3645089866,7.15401294173,6,22,Many,
19388,/gpfs/scratch/hc4549/weather/19388/20131002_024416.jpg,28,train,57.6333,18.3,10,5,Medium,
684,/gpfs/scratch/hc4549/weather/684/20130204_184146.jpg,32,train,37.2979,-79.9877,2,12,Many,
9730,/gpfs/scratch/hc4549/weather/9730/20131021_195701.jpg,46,train,-34.5806593772,-58.4284707051,10,20,Many,
6798,/gpfs/scratch/hc4549/weather/6798/20130209_022402.jpg,46,train,28.7540844,-17.8861498,2,7,Many,
4679,/gpfs/scratch/hc4549/weather/4679/20141006_124019.jpg,41,train,49.5847611497,9.36662846022,10,15,Many,
1093,/gpfs/scratch/hc4549/weather/1093/20140917_175403.jpg,47,train,42.9675258075,-85.8862860319,9,11,Many,
9730,/gpfs/scratch/hc4549/weather/9730/20130108_175704.jpg,56,train,-34.5806593772,-58.4284707051,1,18,Many,
5020,/gpfs/scratch/hc4549/weather/5020/20131108_024531.jpg,52,train,-30.0342535017,-51.2312071242,11,23,Many,
4801,/gpfs/scratch/hc4549/weather/4801/20110124_091001.jpg,28,train,49.1,10.75,1,9,Medium,
17218,/gpfs/scratch/hc4549/weather/17218/20130124_091019.jpg,17,train,44.08473,-66.1834478,1,6,Low,
260,/gpfs/scratch/hc4549/weather/260/20130902_021457.jpg,55,train,39.6421,-78.9125,9,22,Many,
4801,/gpfs/scratch/hc4549/weather/4801/20111003_081004.jpg,38,train,49.1,10.75,10,8,Many,
3396,/gpfs/scratch/hc4549/weather/3396/20130221_033838.jpg,24,train,49.7724798,9.9584878,2,6,Medium,
8733,/gpfs/scratch/hc4549/weather/8733/20130730_203645.jpg,51,train,47.441685,8.620672,7,20,Many,
5021,/gpfs/scratch/hc4549/weather/5021/20130517_091645.jpg,36,train,-30.0343080145,-51.2312634505,5,7,Many,
4181,/gpfs/scratch/hc4549/weather/4181/20130810_063151.jpg,61,train,32.231328037,-110.946649929,8,21,Medium,
10917,/gpfs/scratch/hc4549/weather/10917/20111128_145405.jpg,34,train,47.3645089866,7.15401294173,11,17,Many,
623,/gpfs/scratch/hc4549/weather/623/20121118_104153.jpg,42,train,29.272958,-94.85084,11,3,Many,
623,/gpfs/scratch/hc4549/weather/623/20131107_031157.jpg,46,train,29.272958,-94.85084,11,18,Many,
10870,/gpfs/scratch/hc4549/weather/10870/20130213_083805.jpg,26,train,47.6946284842,9.27217400644,2,8,Medium,
4584,/gpfs/scratch/hc4549/weather/4584/20130906_190649.jpg,55,train,37.9843530112,23.7326566772,9,20,Many,
684,/gpfs/scratch/hc4549/weather/684/20140829_091146.jpg,50,train,37.2979,-79.9877,8,1,Many,
9483,/gpfs/scratch/hc4549/weather/9483/20130923_065415.jpg,48,train,50.1065184167,8.67800682695,9,10,Many,
623,/gpfs/scratch/hc4549/weather/623/20140122_064159.jpg,39,train,29.272958,-94.85084,1,0,Many,
4801,/gpfs/scratch/hc4549/weather/4801/20110116_154002.jpg,33,train,49.1,10.75,1,18,Many,
623,/gpfs/scratch/hc4549/weather/623/20140508_184154.jpg,54,train,29.272958,-94.85084,5,11,Many,
3297,/gpfs/scratch/hc4549/weather/3297/20131212_200128.jpg,35,train,49.7522678667,-125.296347435,12,12,Many,
260,/gpfs/scratch/hc4549/weather/260/20130101_181457.jpg,33,train,39.6421,-78.9125,1,10,Many,
623,/gpfs/scratch/hc4549/weather/623/20130523_234153.jpg,57,train,29.272958,-94.85084,5,16,Many,
9730,/gpfs/scratch/hc4549/weather/9730/20130927_052708.jpg,44,train,-34.5806593772,-58.4284707051,9,3,Many,
18590,/gpfs/scratch/hc4549/weather/18590/20140206_213926.jpg,35,train,33.7497447444,-84.3883686381,2,14,Many,
3297,/gpfs/scratch/hc4549/weather/3297/20130403_070122.jpg,40,train,49.7522678667,-125.296347435,4,23,Many,
260,/gpfs/scratch/hc4549/weather/260/20130713_061501.jpg,50,train,39.6421,-78.9125,7,1,Many,
